,Unnamed: 0,Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
3752,3752,Childish Gambino,35.31,53.0,0.798,0.559,5.0,-10.868,1,0.0592,0.286,0.1775619253660327,0.349,0.604,102.018,236507.0,4,6
644,644,Villain of the Story,Animals,40.0,0.553,0.977,5.952446502315104,-3.271,1,0.0629,0.000468,0.0397,0.0713,0.632,153.868,182338.0,4,8
6373,6373,Rocky Trail,Kings of Convenience,59.0,0.549,0.418,6.0,-13.172,1,0.0423,0.788,0.123,0.112,0.692,171.98,3.506283333,4,0
12878,12878,Zella Day,Purple Haze,51.0,0.65,0.672,11.0,-7.964,0,0.0393,0.0387,0.0114,0.139,0.593,125.03,198763.0,4,9
17084,17084,Eddie Cochran,Summertime Blues,63.0,0.714,0.886,11.0,-8.629,0,0.0554,0.116,0.184,0.18,0.954,156.351,1.98933333,4,10
7180,7180,SOJA,So Much Trouble In The World,41.0,0.86,0.277,5.0,-10.328,0,0.0377,0.636,0.1775619253660327,0.18,0.768,118.918,214792.0,4,10
6376,6376,JAY-Z,Big Pimpin',68.0,0.88,0.814,11.0,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083,283067.0,4,5
17649,17649,Udit Narayan,Aaye Ho Meri Zindagi Mein - Male Version,44.0,0.598,0.836,11.0,-12.336,1,0.0327,0.646,0.017,0.0791,0.938,135.001,6.048883333,3,3
11563,11563,Beastie Boys,Sabotage,73.0,0.324,0.938,6.0,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131,178440.0,4,6
3530,3530,Pixey,Electric Dream,32.0,0.455,0.759,4.0,-5.268,1,0.0488,0.00814,0.0011,0.275,0.327,120.098,208992.0,4,6
5363,5363,Ween,Ocean Man - Live,22.0,0.718,0.836,7.0,-6.219,1,0.0345,0.536,0.0666,0.822,0.957,122.237,162960.0,4,10
3907,3907,Young Clancy,PARABLE 3,28.0,0.677,0.772,3.0,-7.438,1,0.424,0.303,2.15e-05,0.299,0.721,148.163,106048.0,4,1
11562,11562,my bloody valentine,Only Shallow,59.0,0.14,0.641,5.952446502315104,-10.435,1,0.0422,0.000243,0.837,0.108,0.352,170.207,256573.0,4,10
1321,1321,Mahendra Kapoor,Jai Janani Jai Bharat Maa,1.0,0.571,0.585,1.0,-8.611,1,0.123,0.974,1.59e-05,0.113,0.825,82.565,3.34,3,3
4860,4860,Ray LaMontagne,Strong Enough,56.0,0.717,0.706,2.0,-8.612,1,0.0278,0.116,1.51e-05,0.184,0.967,130.543,214653.0,4,10
7670,7670,Ishmon Bracey,Brown Mama Blues,24.0,0.561,0.241,9.0,-15.723,1,0.0417,0.894,7.25e-05,0.104,0.674,113.32,187627.0,4,2
9254,9254,"Tim McGraw, Faith Hill",It's Your Love,53.0,0.474,0.528,7.0,-8.588,1,0.0276,0.526,0.1775619253660327,0.109,0.364,144.366,3.788883333,4,4
12431,12431,Panic! At The Disco,Hallelujah,62.0,0.578,0.886,11.0,-4.348,1,0.0633,0.011,0.1775619253660327,0.143,0.615,80.008,180627.0,4,10
6725,6725,Omer Adam,על מה בנות חושבות בלילה,56.0,0.668,0.478,2.0,-9.753,1,0.0682,0.6,0.1775619253660327,0.0723,0.475,79.971,194000.0,4,9
12056,12056,Billy F Gibbons,My Lucky Card,39.0,0.527,0.896,7.0,-4.552,1,0.0346,0.00772,0.000245,0.587,0.547,88.064,153760.0,4,2
17838,17838,Rejoicer,Up in Flames,28.0,0.541,0.352,2.0,-14.427,1,0.0392,0.824,0.623,0.575,0.33,94.7,235173.0,4,6
1469,1469,Nothing But Thieves,Sorry - Acoustic,52.0,0.672,0.429,8.0,-7.364,0,0.0298,0.818,4.69e-06,0.205,0.481,127.912,214413.0,4,10
7449,7449,Voivod,Astronomy Domine,35.0,0.342,0.888,2.0,-11.883,1,0.0463,0.000175,0.46,0.139,0.195,126.69,330400.0,4,8
14719,14719,AC/DC,Rock N Roll Train,69.0,0.547,0.931,2.0,-2.356,1,0.0615,0.000998,0.0118,0.278,0.697,118.4,261507.0,4,10
7767,7767,Dudu Aharon,השיר שלך,18.0,0.559,0.529,11.0,-5.665,0,0.0356,0.455,0.1775619253660327,0.14,0.231,96.522,243947.0,4,9
16958,16958,Songhoy Blues,Worry,45.0,0.349,0.827,7.0,-6.915,1,0.0473,0.0431,0.0048,0.217,0.854,96.186,185160.0,4,2
10867,10867,Chapterhouse,Pearl,39.0,0.41,0.885,2.0,-7.042,1,0.0351,0.000104,0.823,0.307,0.618,100.051,290800.0,4,6
14088,14088,Echo Collective,The See Within,30.0,0.306,0.0632,4.0,-25.363,0,0.0363,0.917,0.895,0.105,0.0308,101.071,173457.0,1,6
9801,9801,Big Spring,Keep The Lights On Me,38.0,0.445,0.886,7.0,-6.592,1,0.0647,0.00158,5.44e-06,0.0424,0.382,81.37,227262.0,4,1
1895,1895,Manga Saint Hilare,Contraband,32.0,0.868,0.73,5.952446502315104,-7.478,0,0.337,0.332,8.94e-06,0.141,0.947,140.091,164571.0,4,5
14510,14510,Anoushka Shankar,Naked,48.0,0.155,0.0923,2.0,-17.707,1,0.0398,0.875,0.603,0.126,0.0384,80.869,4.28245,4,0
1884,1884,Lorde,Royals,76.0,0.674,0.428,7.0,-9.504,1,0.122,0.121,0.1775619253660327,0.132,0.337,84.878,190185.0,4,9
4280,4280,Backstreet Boys,In a World Like This,26.0,0.605,0.858,7.0,-3.982,1,0.0303,0.00688,0.1775619253660327,0.344,0.555,125.048,3.670283333,4,9
7775,7775,Doja Cat,Freak,75.0,0.688,0.716,7.0,-5.702,1,0.0385,0.0969,0.1775619253660327,0.0989,0.373,116.912,4.741333333,3,9
2353,2353,Matt Schofield,Black Cat Bone,21.0,0.529,0.555,10.0,-10.687,1,0.0566,0.0265,0.0282,0.676,0.632,109.579,590720.0,4,2
2708,2708,Rami Fortis,בבוקר של קטיפה - Remastered,23.0,0.2,0.47,4.0,-8.411,1,0.032,0.494,0.0811,0.156,0.118,129.876,243000.0,1,10
12545,12545,Eminem,The Way I Am,71.0,0.785,0.871,4.0,-2.692,0,0.265,0.144,0.1775619253660327,0.309,0.315,87.248,290427.0,4,5
12973,12973,The Cranberries,Zombie,80.0,0.307,0.635,7.0,-8.957,1,0.0339,0.0154,0.00483,0.366,0.304,166.973,306427.0,4,10
15996,15996,National Nightmare,Witch,32.0,0.493,0.937,9.0,-3.555,0,0.0884,0.0198,0.000216,0.103,0.435,155.179,290417.0,4,8
5723,5723,Wes Montgomery,West Coast Blues,40.0,0.575,0.283,5.0,-13.333,0,0.0457,0.961,0.204,0.104,0.659,152.929,442400.0,3,2
4552,4552,Ensiferum,"Rum, Women, Victory",42.0,0.351,0.984,11.0,-4.569,1,0.121,2.98e-05,0.0139,0.419,0.242,175.102,256280.0,4,8
3267,3267,Nirvana,Love Buzz,64.0,0.479,0.865,5.0,-8.281,0,0.0339,3.1e-05,0.228,0.182,0.77,137.902,215203.0,4,1
6775,6775,Saint Jude,Soul On Fire,36.0,0.46,0.858,5.0,-4.495,1,0.0392,0.000233,6.72e-05,0.0741,0.502,131.54,224773.0,4,2
12686,12686,Dudu Tassa,עם חלומות כאלה,29.0,0.45,0.735,9.0,-6.289,0,0.0319,0.0358,0.000564,0.0686,0.149,77.528,211947.0,3,10
5470,5470,Cosmic Neighbourhood,Weird Beard,7.0,0.502,0.685,5.0,-11.596,0,0.0608,0.048,0.11,0.394,0.315,96.988,573306.0,4,6
5796,5796,girlhouse,pretty girl in la,42.0,0.567,0.532,2.0,-9.171,1,0.0324,0.191,0.000269,0.143,0.196,122.987,214634.0,4,1
1033,1033,Softcult,Gloomy Girl,36.0,0.427,0.623,9.0,-6.248,1,0.0321,0.000439,0.013,0.109,0.175,150.077,186411.0,4,6
2075,2075,LUMP,Animal - Edit,52.0,0.76,0.652,1.0,-8.896,1,0.0311,0.137,0.213,0.11,0.398,119.978,185536.0,3,1
6858,6858,Eminem,'Till I Collapse,84.0,0.548,0.847,1.0,-3.237,1,0.186,0.0622,0.1775619253660327,0.0816,0.1,171.447,297787.0,4,5
14767,14767,Mr Eazi,Lento,66.0,0.87,0.721,10.0,-5.311,0,0.11,0.522,0.648,0.108,0.489,92.025,188910.0,4,9
12188,12188,Saosin,It's Far Better To Learn,48.0,0.32,0.94,2.0,-4.823,0,0.0866,0.000402,0.14,0.235,0.0724,182.189,234547.0,4,10
7812,7812,Savages,Husbands,34.0,0.294,0.86,6.0,-4.657,0,0.0392,3.22e-05,0.00252,0.06,0.146,176.858,170133.0,4,6
15909,15909,Noisettes,Never Forget You,73.0,0.569,0.692,9.0,-4.683,1,0.0323,0.0167,3.78e-05,0.126,0.737,141.632,3.20355,4,9
7284,7284,Reece Young,All In My Head,37.0,0.578,0.794,9.0,-7.881,1,0.0288,0.128,0.000257,0.34,0.351,143.996,205000.0,4,10
10702,10702,Queen,Save Me - Remastered 2011,62.0,0.507,0.452,7.0,-6.8,1,0.0269,0.359,0.1775619253660327,0.109,0.322,81.632,229920.0,3,10
13850,13850,Coldplay,Princess of China - Acoustic,50.0,0.245,0.471,9.0,-7.952,0,0.0313,0.652,0.00717,0.126,0.287,165.996,206693.0,4,9
10764,10764,Oli Brown,Open Road,36.0,0.628,0.576,11.0,-4.694,0,0.0565,0.212,4.47e-05,0.315,0.693,92.01,227680.0,4,2
15342,15342,Jessie J,Bang Bang,79.0,0.706,0.786,5.952446502315104,-3.417,0,0.091,0.26,0.1775619253660327,0.38,0.751,150.028,199387.0,4,9
2283,2283,Street Sweeper Social Club,Clap For The Killers,34.0,0.648,0.867,4.0,-5.184,1,0.142,0.0849,0.00218,0.321,0.874,164.399,235394.0,4,10
9538,9538,Two Feet,Think I'm Crazy,56.0,0.761,0.797,11.0,-4.818,0,0.0645,0.123,1.03e-05,0.196,0.782,119.975,182619.0,4,10
5666,5666,Witch Prophet,Shine,28.0,0.595,0.424,11.0,-8.736,0,0.0458,0.77,0.85,0.124,0.0911,113.305,158118.0,5,1
7690,7690,Yellow Ostrich,Julia,34.0,0.634,0.614,11.0,-11.002,0,0.0381,0.404,0.00864,0.12,0.421,146.108,208707.0,4,1
3986,3986,Leon Bridges,Motorbike,67.0,0.721,0.485,5.0,-11.213,0,0.0681,0.158,0.275,0.107,0.614,150.027,188617.0,4,1
7715,7715,Everlast,The Culling,38.0,0.681,0.849,1.0,-5.952,1,0.382,0.0305,0.1775619253660327,0.301,0.541,79.004,194160.0,4,10
3634,3634,Nico,These Days,63.0,0.401,0.13,5.0,-17.638,1,0.0312,0.989,0.305,0.101,0.213,93.091,210653.0,4,1
1167,1167,Kadinja,The Modern Rage,31.0,0.515,0.973,11.0,-4.272,0,0.167,2.11e-05,0.000888,0.233,0.134,129.965,246720.0,4,8
5006,5006,Bodom After Midnight,Payback's a Bitch,43.0,0.306,0.98,6.0,-5.421,0,0.0909,3.72e-05,0.193,0.157,0.348,196.925,245946.0,4,8
3365,3365,MICHELLE,SUNRISE,53.0,0.787,0.422,5.952446502315104,-8.552,1,0.0569,0.287,0.111,0.3,0.607,87.018,176667.0,4,6
4453,4453,Twin Wild,My Heart,29.0,0.48,0.905,7.0,-3.851,1,0.0896,0.000197,8.66e-06,0.29,0.295,95.055,227046.0,4,10
14992,14992,Mohammed Rafi,Pathar Ke Sanam,24.0,0.362,0.43,11.0,-12.339,1,0.0356,0.953,0.465,0.189,0.572,104.3,4.964666667,4,3
13760,13760,The Interrupters,She's Kerosene,60.0,0.577,0.936,11.0,-2.924,0,0.078,0.043,1.74e-05,0.413,0.899,168.879,170453.0,4,10
12350,12350,Denzel Curry,Pyro [Sango Leak Feat. Kenny Mason],49.0,0.723,0.785,7.0,-6.303,1,0.375,0.243,0.1775619253660327,0.216,0.52,85.991,163708.0,4,5
13543,13543,Armored Saint,Can U Deliver,45.0,0.498,0.858,8.0,-9.48,1,0.0564,0.0299,0.1775619253660327,0.106,0.437,151.698,215307.0,4,8
17550,17550,Rendez Vous,Sentimental Animal,39.0,0.467,0.769,2.0,-5.059,1,0.0393,3.93e-05,0.572,0.32,0.607,155.957,275391.0,4,10
2970,2970,Besphrenz,better off alone,45.0,0.621,0.799,8.0,-10.119,1,0.0648,0.0668,0.0266,0.111,0.739,157.925,198228.0,4,9
17050,17050,Radiohead,Just,63.0,0.291,0.767,7.0,-6.913,0,0.0862,0.000401,0.012,0.0763,0.359,175.702,234800.0,4,10
10273,10273,Naomi Young,Rays of light,43.0,0.212,0.0672,9.0,-23.246,0,0.0505,0.961,0.92,0.0991,0.035,105.887,2.470833333,4,7
13447,13447,Prajakta Shukre,Ka Karoon Sajni - The Unwind Mix,21.0,0.634,0.486,1.0,-9.403,0,0.039,0.736,3.46e-05,0.0681,0.158,119.942,4.492883333,4,0
3904,3904,The Flower Kings,Black Flag,28.0,0.399,0.59,4.0,-8.305,1,0.0315,0.0737,0.00133,0.333,0.199,139.912,459640.0,4,10
188,188,Rema,Bounce,59.0,0.463,0.847,11.0,-6.776,0,0.0511,0.0307,0.1775619253660327,0.117,0.625,114.962,187783.0,4,9
13267,13267,The Violent Youth,Солнце,28.0,0.485,0.94,3.0,-4.598,1,0.294,0.0031,0.835,0.349,0.666,120.104,228111.0,4,6
17136,17136,Phoenix,1901,64.0,0.607,0.835,5.952446502315104,-5.427,1,0.0415,0.0588,4.71e-05,0.195,0.719,144.087,193120.0,4,10
10856,10856,Conan Gray,Overdrive,77.0,0.568,0.788,5.0,-6.28,1,0.0377,0.0101,0.1775619253660327,0.141,0.46,104.959,183070.0,4,9
12476,12476,Stan Getz,Nobody Else But Me,46.0,0.451,0.156,5.952446502315104,-15.422,0,0.0415,0.964,0.0478,0.0993,0.379,137.405,4.189116667,4,7
15031,15031,Michael Kiwanuka,Cold Little Heart - Radio Edit,71.0,0.629,0.58,7.0,-6.208,0,0.0278,0.357,0.000353,0.436,0.655,110.264,210300.0,4,2
13981,13981,Unprocessed,Abandoned,44.0,0.568,0.877,4.0,-7.043,0,0.0526,0.00357,0.214,0.125,0.172,108.524,327373.0,4,8
3844,3844,Yehudit Ravitz,עין גדי,28.0,0.527,0.0596,5.952446502315104,-19.036,1,0.0358,0.831,0.1775619253660327,0.111,0.41,143.34,236693.0,4,10
3032,3032,RENE,Leaving Anyway,26.0,0.419,0.681,2.0,-5.451,1,0.0309,0.0353,1.49e-06,0.12,0.279,171.871,249000.0,4,10
9642,9642,iann dior,shots in the dark,44.51212431693989,0.58,0.651,6.0,-5.537,0,0.0459,0.0275,0.1775619253660327,0.102,0.562,157.888,188584.0,4,9
3379,3379,THE DRIVER ERA,Preacher Man,55.0,0.689,0.947,1.0,-3.926,1,0.0897,0.00209,0.1775619253660327,0.228,0.393,119.993,219390.0,4,10
264,264,The Yardbirds,Over Under Sideways Down - The Mono Album,46.0,0.529,0.861,11.0,-10.581,1,0.0784,0.292,0.225,0.314,0.387,96.52,142507.0,4,6
2571,2571,Stan Getz,Pennies From Heaven,37.0,0.701,0.137,5.952446502315104,-16.397,1,0.0417,0.991,0.912,0.155,0.68,92.341,311813.0,4,2
10890,10890,Mudhoney,Suck You Dry - 2008 Remaster,46.0,0.248,0.98,6.0,-7.1,1,0.0878,3.19e-06,0.795,0.0688,0.513,152.956,154347.0,4,10
11182,11182,Slayyyter,Cowboys,54.0,0.332,0.789,8.0,-4.788,0,0.0791,0.126,0.1775619253660327,0.0588,0.276,81.706,218586.0,4,10
12093,12093,Doja Cat,Streets,92.0,0.749,0.463,11.0,-8.433,1,0.0828,0.208,0.0371,0.337,0.19,90.028,226987.0,4,9
7098,7098,Scarecrow Blues Hip Hop,Left Behind,36.0,0.798,0.693,11.0,-7.454,0,0.289,0.565,2.33e-05,0.104,0.771,100.99,216333.0,4,2
4495,4495,Yemi Alade,True Love,43.0,0.749,0.602,5.0,-5.097,1,0.0798,0.0313,0.000543,0.0337,0.965,120.022,235875.0,4,9
10521,10521,Kenichi Takemoto,Bubbles,38.0,0.658,0.339,10.0,-11.831,1,0.0459,0.473,0.1775619253660327,0.115,0.357,90.013,282692.0,4,9
13257,13257,Rich Boy,Throw Some D's,58.0,0.697,0.86,11.0,-5.181,1,0.43,0.0368,0.1775619253660327,0.0721,0.433,160.895,263920.0,4,5
2289,2289,Writing The Future,As Above So Below,48.0,0.489,0.962,5.0,-5.497,0,0.105,0.000414,4.27e-05,0.252,0.34,160.055,210000.0,4,10
4185,4185,bennytheghost,Papercut,54.0,0.602,0.516,2.0,-7.575,0,0.0533,0.521,1.69e-06,0.214,0.337,140.057,193448.0,4,10
11550,11550,Liam Gallagher,Wall of Glass,59.0,0.351,0.939,5.952446502315104,-4.469,1,0.0564,6.42e-05,0.00113,0.296,0.321,182.067,223547.0,4,10
13678,13678,The Velvet Underground,Heroin,58.0,0.201,0.777,1.0,-10.167,1,0.0705,0.304,0.78,0.0981,0.235,145.733,433573.0,4,1
6587,6587,Kyuss,Demon Cleaner,47.0,0.516,0.824,10.0,-10.027,0,0.0363,0.0695,0.753,0.236,0.882,102.044,311519.0,4,8
9591,9591,The Heavytrackerz,What You Do,34.0,0.755,0.662,1.0,-7.158,1,0.413,0.507,0.1775619253660327,0.101,0.611,160.049,231000.0,4,5
7366,7366,Nine Inch Nails,Only,47.0,0.7,0.807,9.0,-5.711,0,0.029,0.000576,0.00488,0.0996,0.963,112.15,263093.0,4,10
16845,16845,Lata Mangeshkar,"Suno Chhoti Si Gudiya Ki Kahani, Pt. 1",1.0,0.533,0.371,6.0,-10.423,1,0.0494,0.961,0.015,0.371,0.811,136.692,2.891116667,3,3
10172,10172,Modest Mouse,"The Ground Walks, with Time in a Box",50.0,0.65,0.957,9.0,-3.4,0,0.0439,0.0102,0.0125,0.193,0.877,128.009,370387.0,4,10
662,662,Ouzo Bazooka,Space Camel,38.0,0.483,0.931,5.952446502315104,-5.787,1,0.0319,0.00181,0.0427,0.236,0.887,91.575,397813.0,4,1
391,391,MOSES,Cause You Got Me,46.0,0.494,0.805,1.0,-6.437,1,0.0293,0.000595,7.12e-05,0.0636,0.571,96.996,232526.0,4,10
13960,13960,Peter Gregson,The Dive,41.0,0.152,0.0542,2.0,-23.323,0,0.0378,0.956,0.844,0.104,0.153,90.94,225475.0,4,1
17460,17460,Brantley Gilbert,You Don't Know Her Like I Do,60.0,0.49,0.716,4.0,-6.681,1,0.0441,0.022,0.00048,0.0526,0.288,74.988,4.775333333,4,4
767,767,Cedric Burnside,Coldwater,34.0,0.604,0.612,4.0,-6.92,1,0.0262,0.314,4.39e-05,0.104,0.375,102.969,247145.0,4,2
14142,14142,TOBi,Family Matters (feat. Flo Milli),52.0,0.873,0.516,7.0,-11.038,0,0.273,0.434,0.1775619253660327,0.125,0.478,126.046,217136.0,4,5
7728,7728,Lunatic Soul,The Passage,33.0,0.586,0.726,9.0,-11.142,1,0.0423,0.354,0.662,0.134,0.598,147.979,537777.0,3,8
17337,17337,Run–D.M.C.,Walk This Way (feat. Aerosmith),70.0,0.761,0.711,9.0,-7.989,1,0.0604,0.0174,0.000101,0.0652,0.947,105.448,310387.0,4,10
2399,2399,Raviv Kaner,רוצה שלום,58.0,0.727,0.431,2.0,-10.007,0,0.0937,0.173,2.84e-05,0.0813,0.157,94.95,208681.0,4,9
9727,9727,Surfer Blood,Parkland (Into the Silence),26.0,0.414,0.828,9.0,-6.395,1,0.0354,0.0411,0.00942,0.107,0.894,175.883,225987.0,4,6
7194,7194,Ida Maria,Dirty Money,38.0,0.554,0.92,11.0,-4.599,1,0.0448,0.00152,1.08e-05,0.474,0.697,98.033,177285.0,4,10
3044,3044,The Tracks,Strange Moments,22.0,0.329,0.905,7.0,-5.728,1,0.0546,8.63e-05,0.0037,0.11,0.711,145.149,183560.0,4,10
16851,16851,Talvin Singh,Traveller - Leafcutter John Remix,44.51212431693989,0.309,0.501,10.0,-12.711,0,0.0405,0.0556,0.854,0.107,0.121,148.055,5.841333333,4,0
10807,10807,Def Leppard,Let It Go,52.0,0.409,0.915,2.0,-7.205,1,0.0667,0.00444,0.0022,0.342,0.409,138.143,283186.0,4,8
414,414,The Soft Cavalry,Dive,28.0,0.5,0.528,2.0,-10.051,1,0.0276,0.044,0.000243,0.0911,0.094,78.0,255385.0,4,6
11880,11880,The Mars Volta,Inertiatic Esp,52.0,0.22,0.83,6.0,-3.584,0,0.0801,0.00419,3.06e-05,0.654,0.457,169.765,263773.0,3,10
10748,10748,Limp Bizkit,Behind Blue Eyes,72.0,0.595,0.489,7.0,-6.66,1,0.0271,0.497,0.1775619253660327,0.119,0.0902,120.315,269973.0,4,10
13606,13606,Krystal Klear,Piano Banana,44.51212431693989,0.803,0.941,10.0,-9.902,1,0.126,5.18e-05,0.917,0.105,0.389,127.011,242090.0,4,6
8078,8078,Superbloom,Whatever,36.0,0.385,0.972,3.0,-3.816,0,0.0648,0.000193,0.000413,0.302,0.398,141.041,186635.0,4,1
13425,13425,Unprocessed,Fear,40.0,0.385,0.848,2.0,-7.009,0,0.0837,0.000185,0.529,0.0878,0.322,131.338,282566.0,4,8
6963,6963,Ray LaMontagne,Such A Simple Thing,67.0,0.522,0.256,10.0,-11.216,1,0.0258,0.86,0.000806,0.142,0.13,76.349,296387.0,4,9
9082,9082,Rad Horror,Stay Out,38.0,0.581,0.847,7.0,-5.48,0,0.0638,0.000259,0.00897,0.0875,0.394,120.07,188000.0,4,1
3356,3356,Elina Filice,Thinking of You,43.0,0.674,0.597,2.0,-9.791,1,0.236,0.587,3.93e-06,0.0935,0.347,99.854,260750.0,4,1
12185,12185,Annie Lennox,I Put A Spell On You,65.0,0.563,0.383,2.0,-7.544,0,0.0322,0.283,2.59e-06,0.127,0.357,173.984,210520.0,3,10
8742,8742,Eric B. & Rakim,Know The Ledge,50.0,0.793,0.907,1.0,-7.461,1,0.182,0.0231,0.00738,0.0798,0.826,115.634,238827.0,4,5
10060,10060,Amanar,Alghafiat,38.0,0.707,0.611,7.0,-7.058,0,0.032,0.473,4.43e-06,0.0729,0.884,134.933,397707.0,4,2
13045,13045,A Day To Remember,Paranoia,64.0,0.409,0.992,3.0,-2.803,0,0.108,4.82e-05,2.03e-06,0.1,0.344,149.859,200677.0,4,10
8291,8291,"Jada Facer, Kyson Facer",Sweater Weather (Acoustic),47.0,0.747,0.228,10.0,-10.742,0,0.0343,0.83,0.1775619253660327,0.0947,0.45,116.072,2.50861667,4,0
6289,6289,Amaranthe,Strong,55.0,0.436,0.95,5.952446502315104,-7.182,1,0.0589,0.000521,2.94e-05,0.1,0.561,180.087,186987.0,4,8
2093,2093,Michael Shynes,Chasing after the moon,52.0,0.555,0.412,3.0,-6.284,1,0.0354,0.692,1.52e-06,0.112,0.282,163.887,238995.0,3,9
15251,15251,Slaves,Chokehold,41.0,0.609,0.88,11.0,-4.391,0,0.0676,0.00061,0.0182,0.0814,0.645,120.006,203547.0,4,6
15278,15278,Aisha Badru,Splintered,45.0,0.369,0.303,1.0,-11.763,0,0.0564,0.848,0.000298,0.111,0.127,147.439,250453.0,4,2
1882,1882,Mrigya,Rock The Raag,8.0,0.299,0.811,7.0,-7.647,1,0.0948,0.068,0.112,0.459,0.709,89.986,7.54045,4,0
16030,16030,Idan Amedi,כאב של לוחמים,43.0,0.318,0.259,9.0,-10.315,0,0.0307,0.803,0.1775619253660327,0.121,0.438,174.738,198773.0,4,9
14409,14409,KALEO,Skinny,65.0,0.484,0.741,2.0,-5.298,1,0.0411,0.0228,0.000164,0.31,0.137,85.076,222317.0,4,10
7357,7357,The Amazons,Mother,44.0,0.429,0.873,5.0,-6.121,1,0.0539,0.00362,0.299,0.111,0.439,79.529,305345.0,4,10
13686,13686,Elvis Presley,Blue Suede Shoes - Remastered,56.0,0.545,0.714,2.0,-5.659,1,0.0562,0.675,2.52e-06,0.121,0.952,94.784,1.99333333,4,10
8371,8371,binki,Wiggle,55.0,0.753,0.461,8.0,-8.857,0,0.0585,0.496,0.000372,0.116,0.897,103.919,179908.0,4,6
13827,13827,Forty Foot,Zeros,27.0,0.383,0.916,9.0,-5.562,1,0.0467,1.16e-06,0.0266,0.125,0.271,89.927,233225.0,4,10
12748,12748,The Cult,Love Removal Machine,53.0,0.323,0.857,7.0,-6.972,1,0.109,0.00217,0.000502,0.0567,0.64,137.537,258907.0,4,10
5435,5435,Shelly West,Jose Cuervo,17.0,0.697,0.588,7.0,-9.416,1,0.0759,0.305,0.1775619253660327,0.117,0.816,115.339,2.714,4,4
2390,2390,Intervals,5-HTP,45.0,0.498,0.939,3.0,-6.022,1,0.119,4.68e-05,0.93,0.243,0.348,157.979,181280.0,4,8
16828,16828,Aarti Mukherji,Do Naina Aur Ek Kahani,30.0,0.5,0.31,9.0,-13.013,1,0.028,0.717,1.81e-06,0.0509,0.387,95.492,5.444,4,3
8457,8457,Prides,A Wilder Heart - Acoustic,40.0,0.44,0.339,5.952446502315104,-8.191,1,0.0381,0.672,0.1775619253660327,0.0933,0.353,110.063,241562.0,5,9
14010,14010,George Strait,Unwound,48.0,0.715,0.461,10.0,-14.473,1,0.0394,0.124,1.99e-06,0.0662,0.775,139.291,2.419333333,4,4
3667,3667,Metric,Combat Baby,51.0,0.649,0.914,9.0,-6.199,1,0.0455,0.00573,0.000165,0.0997,0.739,139.125,209760.0,4,1
679,679,Motorjesus,Hellbreaker,35.0,0.527,0.944,5.0,-4.763,0,0.0519,0.000105,0.1775619253660327,0.0915,0.534,125.009,247747.0,4,10
13633,13633,Pure Obsessions & Red Nights,A Lovely Day - Combichrist Remix,35.0,0.536,0.592,8.0,-9.145,1,0.0295,0.00118,0.0224,0.0907,0.0549,100.015,376800.0,4,8
11867,11867,Filthy Gears,Magneto,18.0,0.76,0.532,9.0,-9.246,1,0.0427,0.0112,0.715,0.119,0.139,140.079,197221.0,4,5
2704,2704,Rosey,Bermuda Triangle,39.0,0.541,0.392,7.0,-10.635,1,0.0445,0.539,5.57e-05,0.0864,0.351,152.993,3.76665,4,0
11493,11493,PinkPantheress,Break it off,75.0,0.577,0.788,11.0,-6.737,0,0.0977,0.014,2.56e-06,0.123,0.644,172.926,93970.0,4,9
7737,7737,Gleemer,Gauze,48.0,0.567,0.539,10.0,-8.745,1,0.0333,0.00458,0.406,0.109,0.372,81.989,297501.0,4,6
13170,13170,SOAK,Bloodbuzz Ohio,43.0,0.441,0.267,6.0,-8.171,1,0.031,0.715,1.48e-06,0.11,0.0566,140.076,279968.0,4,6
2976,2976,The Kinks,You Really Got Me,72.0,0.573,0.939,8.0,-6.441,1,0.0808,0.493,0.1775619253660327,0.0994,0.963,137.382,134253.0,4,10
9997,9997,The Everly Brothers,Wake up Little Susie,62.0,0.709,0.62,2.0,-9.382,1,0.034,0.318,0.1775619253660327,0.0426,0.936,93.723,123520.0,4,10
6592,6592,Hand Habits,4th of july,32.0,0.598,0.295,10.0,-10.894,1,0.0251,0.448,9.67e-05,0.112,0.3,100.905,176268.0,4,6
17685,17685,Dennis Lloyd,Alien,72.0,0.71,0.768,5.952446502315104,-4.772,1,0.0457,0.00813,3.66e-05,0.0791,0.419,118.085,138639.0,4,9
